timestamp,title,brand,initial_price,final_price,currency,availability,is_available,rating,discount,seller_id,asin,categories,date,year,month,day,discount_pct,is_discounted,is_price_dropped,is_same_price,categories_array,main_category,sub_category
2023-08-08,RoomMates RMK2251GM Teenage Mutant Ninja Turtles Raphael Peel and Stick Giant Wall Decals,RoomMates,18.99,16.14,USD,In Stock,,4.7,15,ATVPDKIKX0DER,B00E3YVA6W,"[""Baby Products"",""Nursery"",""Décor"",""Wall Décor"",""Stickers""]",2023-08-08,2023,8,8,15.007898894154808,True,True,False,"['""Baby Products""', '""Nursery""', '""Décor""', '""Wall Décor""', '""Stickers""']",Baby Products,Nursery
2023-08-08,Amazon Essentials Men's Slim-Fit Tech Stretch Polo Shirt,Amazon Essentials,19.9,19.0,USD,In Stock,,4.3,5,ATVPDKIKX0DER,B08P63FLH3,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Shirts"",""Polos""]",2023-08-08,2023,8,8,4.5226130653266265,True,True,False,"['""Clothing', ' Shoes & Jewelry""', '""Men""', '""Clothing""', '""Shirts""', '""Polos""']",Clothing,Shoes & Jewelry
2023-08-24,"Flannel Fleece Queen Size Summer Blanket All Season 350GSM Lightweight Throw for The Bed Extra Soft Brush Fabric Winter Warm Sofa Blanket 90"" x 90""(Burgundy Red Queen)",HOZY,35.99,28.79,USD,In Stock,,4.7,-20%,A1YWE81IRGJKWN,B07SS833K7,"[""Home & Kitchen"",""Bedding"",""Blankets & Throws"",""Bed Blankets""]",2023-08-24,2023,8,24,20.005557099194228,True,True,False,"['""Home & Kitchen""', '""Bedding""', '""Blankets & Throws""', '""Bed Blankets""']",Home & Kitchen,Bedding
2023-08-16,"ISLE Pioneer Inflatable Stand Up Paddle Board, Incl. Coil Leash, Touring Center Fin, Backpack, Hand Pump, Paddle - Beginner Friendly SUP",ISLE Surf and SUP,795.0,495.0,USD,In Stock,,4.0,-38%,A1JEZ1O7F81YDT,B09QQTX1H8,"[""Sports & Outdoors"",""Sports"",""Water Sports"",""Stand-Up Paddleboarding""]",2023-08-16,2023,8,16,37.735849056603776,True,True,False,"['""Sports & Outdoors""', '""Sports""', '""Water Sports""', '""Stand-Up Paddleboarding""']",Sports & Outdoors,Sports
2023-08-08,Amazon Essentials Men's Flannel Pajama Pant (Available in Big & Tall),AMAZON ESSENTIALS,16.5,13.2,USD,In Stock,,4.6,20,ATVPDKIKX0DER,B08SX7WH8H,"[""Clothing, Shoes & Jewelry"",""Men"",""Clothing"",""Sleep & Lounge"",""Sleep Bottoms""]",2023-08-08,2023,8,8,20.000000000000004,True,True,False,"['""Clothing', ' Shoes & Jewelry""', '""Men""', '""Clothing""', '""Sleep & Lounge""', '""Sleep Bottoms""']",Clothing,Shoes & Jewelry
2023-08-16,"LDR 310 F-34 Floor Flange, Black, 3/4-Inch",LDR Industries,11.12,10.38,USD,Only 15 left in stock - order soon,,4.5,-7%,A3V9R9BV19MQT8,B01FLH4TC6,"[""Tools & Home Improvement"",""Rough Plumbing"",""Faucet Parts"",""Faucet Flanges""]",2023-08-16,2023,8,16,6.654676258992792,True,True,False,"['""Tools & Home Improvement""', '""Rough Plumbing""', '""Faucet Parts""', '""Faucet Flanges""']",Tools & Home Improvement,Rough Plumbing
2023-08-25,"Mead Loose-Leaf Memo Book, 6 3/4 x 3 3/4"", 6-Ring, 1/2-Inch, 40 Pages, Assorted - Color May Vary (46034)",Mead,16.23,9.84,USD,In Stock,,4.4,-39%,A3VM3U4ZW1UBDO,B000FNDCC0,"[""Office Products"",""Office & School Supplies"",""Paper"",""Notebooks & Writing Pads"",""Memo & Scratch Pads""]",2023-08-25,2023,8,25,39.371534195933464,True,True,False,"['""Office Products""', '""Office & School Supplies""', '""Paper""', '""Notebooks & Writing Pads""', '""Memo & Scratch Pads""']",Office Products,Office & School Supplies
2023-08-25,FMFUNCTEX Black White Semi-Sheer Curtains for Living-Room 84 inches Length Tree Print Semi-Sheer Window Drapes for Bedroom Branch Curtain Panels 2pcs Rod Pocket,FMFUNCTEX,34.98,34.98,USD,In Stock,,4.7,-20%,A35T5301S0B422,B088CP6VMP,"[""Home & Kitchen"",""Home Décor Products"",""Window Treatments"",""Curtains & Drapes"",""Panels""]",2023-08-25,2023,8,25,0.0,False,False,True,"['""Home & Kitchen""', '""Home Décor Products""', '""Window Treatments""', '""Curtains & Drapes""', '""Panels""']",Home & Kitchen,Home Décor Products
2024-01-17,"XWQHJW LED Headlight Bulbs Compatible For Toyota Prius 2010 2011 2012 2013 2014 2015, 9005 H11 High Low Beam Light Bulbs, Halogen Replacement, 6000K White Super Bright, Plug and Play, Pack of 4",XWQHJW,49.99,45.99,USD,In Stock,,4.4,-8%,A36C2PFZ16SXGW,B0CNRJHVNV,"[""Automotive"",""Lights & Lighting Accessories"",""Bulbs"",""Headlight Bulbs""]",2024-01-17,2024,1,17,8.001600320064012,True,True,False,"['""Automotive""', '""Lights & Lighting Accessories""', '""Bulbs""', '""Headlight Bulbs""']",Automotive,Lights & Lighting Accessories
2024-05-13,"FLLOBE Quick Push Pop Game Fast Push Bubble Game Console Pop Game Fidget Toys Light up Pop Game for Kids and Adults, Birthday Gift (Astronaut)",FLLOBE,9.99,6.99,USD,In Stock,True,4.0,-30%,A2LMQAOLFGXA9V,B0CJNKLY1C,"[""Toys & Games"",""Novelty & Gag Toys"",""Fidget Toys""]",2024-05-13,2024,5,13,30.03003003003003,True,True,False,"['""Toys & Games""', '""Novelty & Gag Toys""', '""Fidget Toys""']",Toys & Games,Novelty & Gag Toys
2024-06-24,"Brentwood MC-109R 1.5 Cup Mini Food Chopper, Red",Brentwood,19.99,15.49,USD,In Stock,True,4.4,-23%,ATVPDKIKX0DER,B07T7KN9NY,"[""Home & Kitchen"",""Kitchen & Dining"",""Small Appliances"",""Food Processors""]",2024-06-24,2024,6,24,22.5112556278139,True,True,False,"['""Home & Kitchen""', '""Kitchen & Dining""', '""Small Appliances""', '""Food Processors""']",Home & Kitchen,Kitchen & Dining
2023-08-03,Probrico Flat Black Double Cylinder Handleset Combo Pack Keyed Alike Entry Knobs with Deadbolts Exterior Hardware for Outside Gate and Front Door 2 Pack,Probrico,54.99,54.99,USD,Only 16 left in stock - order soon,,4.1,45,AYC4XZVI5T71S,B081DXW82P,"[""Tools & Home Improvement"",""Hardware"",""Door Hardware & Locks"",""Handlesets""]",2023-08-03,2023,8,3,0.0,False,False,True,"['""Tools & Home Improvement""', '""Hardware""', '""Door Hardware & Locks""', '""Handlesets""']",Tools & Home Improvement,Hardware
2023-04-26,"Liquitex Professional Heavy Body Acrylic Paint, 2-oz (59ml) Tube, Phthalocyanine Blue (Green Shade)",Liquitex,11.59,9.8,USD,In Stock,,4.8,$1.79,ATVPDKIKX0DER,B0014ZOSUI,"[""Arts, Crafts & Sewing"",""Painting, Drawing & Art Supplies"",""Painting"",""Paints""]",2023-04-26,2023,4,26,15.444348576358923,True,True,False,"['""Arts', ' Crafts & Sewing""', '""Painting', ' Drawing & Art Supplies""', '""Painting""', '""Paints""']",Arts,Crafts & Sewing
2024-06-24,"TCP Global Wet Film Thickness Gauge Comb, 1-80 Mil Scale, Step and notched for Paints Resins (Pack of 3)",TCP Global,19.99,19.99,USD,In Stock,True,4.6,,A23ADOZFIJNPFB,B07SG655ZG,"[""Industrial & Scientific"",""Test, Measure & Inspect"",""Dimensional Measurement"",""Gauges"",""Thickness""]",2024-06-24,2024,6,24,0.0,False,False,True,"['""Industrial & Scientific""', '""Test', ' Measure & Inspect""', '""Dimensional Measurement""', '""Gauges""', '""Thickness""']",Industrial & Scientific,Test
