brand,final_price
Bublo Baby,7.99
Buffalo David Bitton,59.4
Buyer Star,4.99
Bzlaha,9.99
C-Line,8.98
CGK Unlimited,19.99
CIVIVI,33.43
CIYAGPOOU,4.99
CLUCI,99.99
COCO REEF,58.8
COCOMOON,14.99
COMOWARE,35.99
COOLJOB,9.99
CRAYZA,38.99
CROSSSELL,11.99
CRYSULLY,65.99
CULMKARI,89.99
CXK,25.99
California Costumes,12.99
Camco,23.12
Canterbury,34.0
Carhartt Sportswear - Mens,39.99
CaseBuy,14.95
Caseology,14.99
Casio,32.99
Cell9102,69.99
Champion,25.845
Champion Sports,29.62
Chemical Guys,203.59
Chrome Pro,64.9
Clarks,59.99
Classic Accessories,26.19
Classroom,10.08
CleanEspresso,16.99
ClosetMaid,64.7
Codemasters,44.99
Coleman,23.23
Comfort,770.0
Comfyable,25.99
Convenience Concepts,90.92
Cook N Home,33.99
Core 10,23.92
Corsair,376.36
Covercraft,72.55
Creality,299.0
Creative Converting,7.69
Cressi,62.95
Crosley Furniture,390.9
Crux Interfacing,104.78
Cuby,19.99
Curyidy,7.99
D-Link,184.21
D.B.Z.,599.0
DANIEL SMITH,12.835
DEMETER,13.5
DEWALT,200.265
DORA MOMOKO,9.99
DORBOKER,19.99
DRAGONtail Tenkara,16.0
DUMOS,69.99
DUODUO,49.99
DYMO,13.36
DeBelle,298.0
DecorRack,9.99
Delanie,9.99
Dingo,144.95
Disguise,22.8
Diurex,7.22
Dorman,7.92
Dot Records,10.99
Dr. Scholl's Shoes,31.19
Dremel,47.67
DriftAway,27.99
Dritz,5.515000000000001
Dunwell,9.95
DuraSafe Cases,19.99
Duralex,21.58
EKSA,84.99
ELYKEN,56.99
EMINTA,13.39
ENFBAH,7.99
ESRICH,9.99
ETUDE,337.0
EURO TOOL,18.49
EYIW,20.98
Easton,164.95
Ecko Unltd.,19.99
Electronic Arts,17.26
Ellie,45.95
Elmer's,13.98
Ensenior,104.98
Epson,89.99
Ergodyne,34.4
Eurmax,14.39
Exemplary Gardens,25.48
Extreme Max,16.17
F-32,11.95
FANMATS,17.99
FANTPK,7.99
FBLFOBELI,14.99
FLLOBE,6.99
FLYPROFiber,8.79
FMFUNCTEX,34.98
FOGG,220.0
FORTEM,17.99
FORTSTRONG,154.99
FRYE,229.33
FTL,12.99
FYORR,99.0
FZCYLXJ,9.99
Fabbay,8.99
Fantasy,15.69
FantasyDay,11.99
Fauevav,12.99
Fetiwilso,25.99
Fiebing's,9.96
Fihapyli,21.98
Finish Line,63.0
Fintie,15.989999999999998
FloorPops,14.9
Fly Racing,19.5
Fox Racing,78.27
Freestyle STEP,102.99
French Toast Uniforms Children's Apparel,10.99
Freya Women's Intimate Apparel,36.0
Frieling,89.95
Fringe Studio,15.53
Fruit of the Loom,7.76
Fruit of the Loom Women's IA,9.99
FungLam,12.99
Furnish my Place,269.98
GE,12.1
GEDORE,22.07
GEEKRIA,14.99
GENORTH,23.99
GESUM,44.99
GHKWXUE,67.88
GIHETKUT,159.99
GOTRUTH,31.99
GPATIO,37.99
GPX,24.36
GROHE,68.9
GU Energy,38.99
GULEEK,19.99
Galashield,16.99
Garden of Life,10.49
Gardena,27.9
Gator,199.99
Gazigo,23.99
GearIT,43.98
General Tools,6.19
Generic,15.23
Georgia-Pacific,147.7
Gildan,18.89
Glamorise,43.68666666666667
Glo Minerals,46.44
